message_id,customer_id,message_text,sentiment_label
74,19310,Great product!,positive
75,21447,Great product!,positive
76,16306,Excellent service!,positive
77,32054,Excellent service!,positive
78,1795,Please clarify.,neutral
79,42540,Not working!,negative
80,14417,Disappointed.,negative
81,21424,Disappointed.,negative
82,13723,Great product!,positive
83,46089,Not working!,negative
84,27737,Very satisfied.,positive
85,8282,Terrible experience.,negative
86,30926,Need help.,neutral
87,3207,Disappointed.,negative
88,29341,Excellent service!,positive
89,39683,Terrible experience.,negative
90,37806,Please clarify.,neutral
91,18790,Not working!,negative
92,48033,Great product!,positive
93,38272,Very satisfied.,positive
94,35486,Excellent service!,positive
95,26532,Excellent service!,positive
96,49141,Great product!,positive
97,5158,Never buying again.,negative
98,36207,Not working!,negative
99,15239,Never buying again.,negative
100,12792,Loved it!,positive
101,651,Please clarify.,neutral
102,3823,Disappointed.,negative
103,12343,Loved it!,positive
104,22016,Never buying again.,negative
105,44103,Terrible experience.,negative
106,49406,Can someone assist?,neutral
107,25467,Great product!,positive
108,14743,Please clarify.,neutral
109,2988,Great product!,positive
110,24965,Excellent service!,positive
111,12705,Can someone assist?,neutral
112,47246,Great product!,positive
113,40967,Great product!,positive
114,24018,Terrible experience.,negative
115,23414,Can someone assist?,neutral
116,4447,Not working!,negative
117,24706,Can someone assist?,neutral
118,10109,Not working!,negative
119,25948,Never buying again.,negative
120,30146,Very satisfied.,positive
121,11101,Never buying again.,negative
122,26708,Excellent service!,positive
123,26142,Very satisfied.,positive
124,16948,Loved it!,positive
125,35713,Very satisfied.,positive
126,36677,Loved it!,positive
127,33263,Excellent service!,positive
128,22239,Great product!,positive
129,26559,Please clarify.,neutral
130,27985,Great product!,positive
131,41591,Very satisfied.,positive
132,11389,Loved it!,positive
133,26188,Very satisfied.,positive
134,6169,Very satisfied.,positive
135,37179,Can someone assist?,neutral
136,3999,Loved it!,positive
137,20467,Great product!,positive
138,24011,Disappointed.,negative
139,2947,Excellent service!,positive
140,32573,Great product!,positive
141,17894,Very satisfied.,positive
142,18794,Very satisfied.,positive
143,28663,Never buying again.,negative
144,28253,Excellent service!,positive
145,47764,Loved it!,positive
146,3319,Loved it!,positive
147,18489,Great product!,positive
148,38631,Great product!,positive
149,49430,Excellent service!,positive
150,514,Terrible experience.,negative
151,44442,Excellent service!,positive
152,1151,Can someone assist?,neutral
153,11827,Excellent service!,positive
154,9575,Disappointed.,negative
155,7894,Loved it!,positive
156,12911,Never buying again.,negative
157,3458,Please clarify.,neutral
158,2649,Loved it!,positive
159,49757,Please clarify.,neutral
160,8618,Not working!,negative
161,17753,How do I return this?,neutral
162,30735,Loved it!,positive
163,46396,Terrible experience.,negative
164,9588,Excellent service!,positive
165,45239,Disappointed.,negative
166,21758,Great product!,positive
167,34532,Very satisfied.,positive
168,39163,Not working!,negative
169,14678,Need help.,neutral
170,21632,Can someone assist?,neutral
171,18545,Disappointed.,negative
172,5393,Loved it!,positive
173,2406,Excellent service!,positive
174,23469,Please clarify.,neutral
175,39392,Very satisfied.,positive
176,46812,Disappointed.,negative
177,39880,Very satisfied.,positive
178,16993,Very satisfied.,positive
179,39292,Excellent service!,positive
180,2,Disappointed.,negative
181,37601,Great product!,positive
182,21378,Great product!,positive
183,21684,Excellent service!,positive
184,40765,Need help.,neutral
185,35935,Disappointed.,negative
186,20067,Can someone assist?,neutral
187,16670,Disappointed.,negative
188,14254,Please clarify.,neutral
189,18785,Terrible experience.,negative
190,32702,Please clarify.,neutral
191,23486,Please clarify.,neutral
192,31955,Can someone assist?,neutral
193,49012,Very satisfied.,positive
194,37375,Disappointed.,negative
195,40551,Great product!,positive
196,43941,Disappointed.,negative
197,34256,Please clarify.,neutral
198,48307,Not working!,negative
199,30737,Excellent service!,positive
200,37087,Never buying again.,negative
201,38195,Very satisfied.,positive
202,28595,Never buying again.,negative
203,39863,Never buying again.,negative
204,16485,Loved it!,positive
205,15003,Disappointed.,negative
206,24324,Terrible experience.,negative
207,43335,Loved it!,positive
208,30548,Never buying again.,negative
209,26858,Never buying again.,negative
210,32883,Never buying again.,negative
211,32505,Excellent service!,positive
212,20373,Very satisfied.,positive
213,37180,How do I return this?,neutral
214,12733,Loved it!,positive
215,3639,Very satisfied.,positive
216,20648,Loved it!,positive
217,13370,Not working!,negative
218,38577,Great product!,positive
219,13882,Great product!,positive
220,38548,Please clarify.,neutral
221,7446,Excellent service!,positive
222,15675,Never buying again.,negative
223,24843,Excellent service!,positive
224,28436,Disappointed.,negative
225,7903,Great product!,positive
226,14147,Excellent service!,positive
227,44695,Very satisfied.,positive
228,21249,Very satisfied.,positive
229,28144,Very satisfied.,positive
230,11112,Great product!,positive
231,23120,Loved it!,positive
232,2093,Great product!,positive
233,45452,Need help.,neutral
234,23574,Very satisfied.,positive
235,49705,Excellent service!,positive
236,40344,Excellent service!,positive
237,31106,Excellent service!,positive
238,31937,Disappointed.,negative
239,8526,Terrible experience.,negative
240,47065,How do I return this?,neutral
241,26930,Very satisfied.,positive
242,49695,Disappointed.,negative
243,6897,Excellent service!,positive
244,20811,Excellent service!,positive
245,41563,Need help.,neutral
246,13425,Terrible experience.,negative
247,4601,Not working!,negative
248,40589,Never buying again.,negative
249,29980,Very satisfied.,positive
250,46636,Great product!,positive
251,9858,Disappointed.,negative
252,13191,Loved it!,positive
253,32186,Can someone assist?,neutral
254,45359,Disappointed.,negative
255,233,Terrible experience.,negative
256,15284,How do I return this?,neutral
257,6835,Great product!,positive
258,14147,Great product!,positive
259,1294,Great product!,positive
260,13045,Loved it!,positive
261,32879,Loved it!,positive
262,42025,Great product!,positive
263,23403,Very satisfied.,positive
264,2381,Very satisfied.,positive
265,23593,Very satisfied.,positive
266,13982,Never buying again.,negative
267,22562,Loved it!,positive
268,26365,Excellent service!,positive
269,5882,Very satisfied.,positive
270,2754,How do I return this?,neutral
271,26901,Excellent service!,positive
272,17605,Can someone assist?,neutral
273,22042,Terrible experience.,negative
274,33715,Excellent service!,positive
275,11011,Very satisfied.,positive
276,22537,Excellent service!,positive
277,23290,Loved it!,positive
278,2037,Loved it!,positive
279,17375,Not working!,negative
280,20368,Very satisfied.,positive
281,30741,Disappointed.,negative
282,17019,Great product!,positive
283,43970,Loved it!,positive
284,16482,Can someone assist?,neutral
285,8274,How do I return this?,neutral
286,9502,Disappointed.,negative
287,43443,Great product!,positive
288,45189,Loved it!,positive
289,15841,Loved it!,positive
290,6422,How do I return this?,neutral
291,47808,Loved it!,positive
292,34242,Never buying again.,negative
293,20122,Great product!,positive
294,32862,Terrible experience.,negative
295,619,Very satisfied.,positive
296,23520,Disappointed.,negative
297,31467,Excellent service!,positive
298,24343,Very satisfied.,positive
299,44932,Disappointed.,negative
300,44664,Not working!,negative
301,7961,Great product!,positive
302,35633,Excellent service!,positive
303,7840,Terrible experience.,negative
304,21687,Excellent service!,positive
305,18961,Not working!,negative
306,13224,Please clarify.,neutral
307,10787,How do I return this?,neutral
308,10434,Very satisfied.,positive
309,39723,Very satisfied.,positive
310,22458,Terrible experience.,negative
311,28480,Great product!,positive
312,47075,Excellent service!,positive
313,9849,How do I return this?,neutral
314,4635,Disappointed.,negative
315,31595,Loved it!,positive
316,30032,Loved it!,positive
317,42234,Terrible experience.,negative
318,4382,Need help.,neutral
319,40782,Loved it!,positive
320,29558,Disappointed.,negative
321,21159,Excellent service!,positive
322,2455,Can someone assist?,neutral
323,25546,Great product!,positive
324,917,Excellent service!,positive
325,42803,Loved it!,positive
326,17191,Loved it!,positive
327,28970,Disappointed.,negative
328,390,Never buying again.,negative
329,34621,Very satisfied.,positive
330,9532,Disappointed.,negative
331,36003,Please clarify.,neutral
332,3872,Loved it!,positive
333,19563,Very satisfied.,positive
334,47216,Very satisfied.,positive
335,44883,Can someone assist?,neutral
336,17835,Great product!,positive
337,39736,Can someone assist?,neutral
338,5831,Disappointed.,negative
339,27620,Very satisfied.,positive
340,32086,Not working!,negative
341,5519,Great product!,positive
342,47814,Excellent service!,positive
343,45017,Can someone assist?,neutral
344,29019,Can someone assist?,neutral
345,1968,Terrible experience.,negative
346,21307,How do I return this?,neutral
347,7756,Excellent service!,positive
348,1817,Never buying again.,negative
349,24654,Great product!,positive
350,5856,Very satisfied.,positive
351,15987,Please clarify.,neutral
352,31236,Excellent service!,positive
353,23024,Loved it!,positive
354,9674,Never buying again.,negative
355,18159,Excellent service!,positive
356,42091,Not working!,negative
357,45029,Need help.,neutral
358,23356,Very satisfied.,positive
359,37528,Disappointed.,negative
360,46488,Excellent service!,positive
361,46189,Great product!,positive
362,11706,Terrible experience.,negative
363,7812,Terrible experience.,negative
364,36305,Not working!,negative
365,49467,Loved it!,positive
366,20322,How do I return this?,neutral
367,26183,Can someone assist?,neutral
368,31580,Never buying again.,negative
369,47360,Never buying again.,negative
370,21009,Great product!,positive
371,44969,Loved it!,positive
372,35241,Excellent service!,positive
373,7490,Need help.,neutral
374,16986,Never buying again.,negative
375,35717,Very satisfied.,positive
376,14128,Loved it!,positive
377,8018,Not working!,negative
378,6087,Great product!,positive
379,49063,Very satisfied.,positive
380,27593,Not working!,negative
381,5399,Disappointed.,negative
382,349,How do I return this?,neutral
383,24663,Never buying again.,negative
384,12182,Very satisfied.,positive
385,41882,Terrible experience.,negative
386,47982,Can someone assist?,neutral
387,32415,Very satisfied.,positive
388,45502,Excellent service!,positive
389,36364,Terrible experience.,negative
390,33875,Please clarify.,neutral
391,31546,Not working!,negative
392,33726,Loved it!,positive
393,39995,Great product!,positive
394,31372,Please clarify.,neutral
395,20381,Very satisfied.,positive
396,8817,Great product!,positive
397,47100,Great product!,positive
398,12423,Very satisfied.,positive
399,35751,Excellent service!,positive
400,36260,How do I return this?,neutral
401,29775,Very satisfied.,positive
402,48961,Need help.,neutral
403,4070,Great product!,positive
404,9817,Never buying again.,negative
405,23286,Never buying again.,negative
406,19619,Loved it!,positive
407,32382,Disappointed.,negative
408,44453,Need help.,neutral
409,46036,Need help.,neutral
410,18887,Never buying again.,negative
411,15625,Disappointed.,negative
412,9003,Great product!,positive
413,41264,Great product!,positive
414,44761,Very satisfied.,positive
415,9499,Not working!,negative
416,10509,Need help.,neutral
417,16326,Great product!,positive
418,43604,Loved it!,positive
419,33344,Great product!,positive
420,16851,Loved it!,positive
421,10493,Terrible experience.,negative
422,4260,Not working!,negative
423,12927,Need help.,neutral
424,44691,Very satisfied.,positive
425,38488,Never buying again.,negative
426,10247,Terrible experience.,negative
427,14047,Loved it!,positive
428,35781,Great product!,positive
429,44778,Not working!,negative
430,17624,Great product!,positive
431,897,How do I return this?,neutral
432,22699,Not working!,negative
433,3031,Can someone assist?,neutral
434,44859,Loved it!,positive
435,24798,Disappointed.,negative
436,4779,Very satisfied.,positive
437,29781,Excellent service!,positive
438,26509,Very satisfied.,positive
439,14267,Loved it!,positive
440,29265,Excellent service!,positive
441,40608,Great product!,positive
442,15113,Great product!,positive
443,18161,Not working!,negative
444,11782,Loved it!,positive
445,12046,Never buying again.,negative
446,7484,Need help.,neutral
447,25225,Great product!,positive
448,26120,Excellent service!,positive
449,36792,How do I return this?,neutral
450,42210,Disappointed.,negative
451,13951,Loved it!,positive
452,40637,Never buying again.,negative
453,16110,Great product!,positive
454,43242,Not working!,negative
455,39933,Never buying again.,negative
456,12048,How do I return this?,neutral
457,42548,Terrible experience.,negative
458,42524,Disappointed.,negative
459,40092,Need help.,neutral
460,26631,Can someone assist?,neutral
461,34683,Excellent service!,positive
462,4640,Great product!,positive
463,25345,Very satisfied.,positive
464,13078,Loved it!,positive
465,31714,Great product!,positive
466,25029,Loved it!,positive
467,8488,Great product!,positive
468,1080,Disappointed.,negative
469,22024,Disappointed.,negative
470,28810,Loved it!,positive
471,38739,Never buying again.,negative
472,41947,Not working!,negative
473,28409,Great product!,positive
474,37261,Great product!,positive
475,2606,Never buying again.,negative
476,27573,Very satisfied.,positive
477,46669,Please clarify.,neutral
478,29003,Great product!,positive
479,14287,How do I return this?,neutral
480,18394,Great product!,positive
481,27714,Loved it!,positive
482,12787,Excellent service!,positive
483,40962,Loved it!,positive
484,1457,Great product!,positive
485,45376,Excellent service!,positive
486,25496,Disappointed.,negative
487,7974,Never buying again.,negative
488,2902,How do I return this?,neutral
489,16671,Loved it!,positive
490,27583,Great product!,positive
491,11240,Need help.,neutral
492,35331,Terrible experience.,negative
493,40784,Loved it!,positive
494,29520,Please clarify.,neutral
495,45996,Never buying again.,negative
496,43172,Very satisfied.,positive
497,1589,Loved it!,positive
498,17196,Great product!,positive
499,14852,Loved it!,positive
500,19807,Great product!,positive
501,43609,Excellent service!,positive
502,36210,Loved it!,positive
503,26604,Great product!,positive
504,44899,Very satisfied.,positive
505,24954,Never buying again.,negative
506,40245,Please clarify.,neutral
507,24150,Loved it!,positive
508,42114,Can someone assist?,neutral
509,10749,How do I return this?,neutral
510,38632,Loved it!,positive
511,16663,Very satisfied.,positive
512,42728,Disappointed.,negative
513,49389,Great product!,positive
514,19575,Terrible experience.,negative
515,37117,Very satisfied.,positive
516,19280,Never buying again.,negative
517,5404,Never buying again.,negative
518,41787,Excellent service!,positive
519,31030,Loved it!,positive
520,11863,Excellent service!,positive
521,39866,Very satisfied.,positive
522,35085,Need help.,neutral
523,23558,Never buying again.,negative
524,22273,Terrible experience.,negative
525,12858,Need help.,neutral
526,11409,Excellent service!,positive
527,28835,Excellent service!,positive
528,46846,Great product!,positive
529,1578,Very satisfied.,positive
530,15609,Not working!,negative
531,29636,Terrible experience.,negative
532,22726,How do I return this?,neutral
533,33187,Very satisfied.,positive
534,12998,Can someone assist?,neutral
535,14961,Disappointed.,negative
536,37038,Excellent service!,positive
537,11979,Please clarify.,neutral
538,25584,Need help.,neutral
539,16205,Excellent service!,positive
540,4585,Disappointed.,negative
541,45000,Very satisfied.,positive
542,17816,Very satisfied.,positive
543,28739,Please clarify.,neutral
544,23421,Need help.,neutral
545,14376,Very satisfied.,positive
546,43827,Not working!,negative
547,8563,Never buying again.,negative
548,37336,Need help.,neutral
549,1393,Very satisfied.,positive
550,12395,Never buying again.,negative
551,7749,Can someone assist?,neutral
552,6934,Loved it!,positive
553,43158,How do I return this?,neutral
554,15663,Never buying again.,negative
555,9422,Very satisfied.,positive
556,16170,Terrible experience.,negative
557,41608,Never buying again.,negative
558,807,Can someone assist?,neutral
559,28806,Can someone assist?,neutral
560,2148,Terrible experience.,negative
561,630,Terrible experience.,negative
562,43599,Need help.,neutral
563,14231,How do I return this?,neutral
564,2184,Very satisfied.,positive
565,20992,Very satisfied.,positive
566,37809,Disappointed.,negative
567,15341,Loved it!,positive
568,43913,Excellent service!,positive
569,17447,Disappointed.,negative
570,36724,Excellent service!,positive
571,8139,Terrible experience.,negative
572,12841,Very satisfied.,positive
573,18140,Not working!,negative
574,17076,Please clarify.,neutral
575,19129,Need help.,neutral
576,17189,Not working!,negative
577,5306,Excellent service!,positive
578,3417,Excellent service!,positive
579,15795,Not working!,negative
580,8664,Terrible experience.,negative
581,25414,Excellent service!,positive
582,17970,Disappointed.,negative
583,43904,Disappointed.,negative
584,4883,Not working!,negative
585,32879,Loved it!,positive
586,11404,Excellent service!,positive
587,22523,Please clarify.,neutral
588,42909,Please clarify.,neutral
589,20481,Disappointed.,negative
590,45356,Very satisfied.,positive
591,46846,Please clarify.,neutral
592,47485,Disappointed.,negative
593,12201,Loved it!,positive
594,37194,Excellent service!,positive
595,43523,Loved it!,positive
596,18236,Terrible experience.,negative
597,37627,Loved it!,positive
598,22933,Please clarify.,neutral
599,2064,Very satisfied.,positive
600,28464,Loved it!,positive
601,46397,Not working!,negative
602,16377,How do I return this?,neutral
603,25581,How do I return this?,neutral
604,37450,Need help.,neutral
605,32351,Great product!,positive
606,14409,Disappointed.,negative
607,7750,How do I return this?,neutral
608,38619,Excellent service!,positive
609,5037,Loved it!,positive
610,24937,Need help.,neutral
611,5284,Not working!,negative
612,49161,Excellent service!,positive
613,4753,Great product!,positive
614,15640,Please clarify.,neutral
615,46943,Disappointed.,negative
616,35854,Very satisfied.,positive
617,30547,Need help.,neutral
618,6070,Terrible experience.,negative
619,44660,Not working!,negative
620,18243,Not working!,negative
621,3140,Very satisfied.,positive
622,16178,Loved it!,positive
623,35757,Need help.,neutral
624,32045,Not working!,negative
625,4549,Can someone assist?,neutral
626,33777,Very satisfied.,positive
627,17508,Disappointed.,negative
628,28537,Very satisfied.,positive
629,17276,Great product!,positive
630,11256,Can someone assist?,neutral
631,42520,Very satisfied.,positive
632,9541,Excellent service!,positive
633,28546,Need help.,neutral
634,735,Great product!,positive
635,8124,Very satisfied.,positive
636,9020,Great product!,positive
637,16457,Disappointed.,negative
638,47604,Never buying again.,negative
639,2647,Loved it!,positive
640,48294,Loved it!,positive
641,11653,Very satisfied.,positive
642,22860,Terrible experience.,negative
643,25111,Excellent service!,positive
644,40676,Please clarify.,neutral
645,12432,Not working!,negative
646,48298,Great product!,positive
647,32170,How do I return this?,neutral
648,15984,Terrible experience.,negative
649,13868,Not working!,negative
650,33830,Great product!,positive
651,28617,Great product!,positive
652,30347,Excellent service!,positive
653,34964,Terrible experience.,negative
654,3771,Terrible experience.,negative
655,11770,Excellent service!,positive
656,2275,Excellent service!,positive
657,21897,Very satisfied.,positive
658,26622,Loved it!,positive
659,6373,Never buying again.,negative
660,21077,Loved it!,positive
661,33838,Loved it!,positive
662,37186,Great product!,positive
663,16991,Great product!,positive
664,4505,Excellent service!,positive
665,45929,Great product!,positive
666,16214,Please clarify.,neutral
667,3387,Need help.,neutral
668,13757,Great product!,positive
669,6090,Can someone assist?,neutral
670,2181,Not working!,negative
671,36986,Excellent service!,positive
672,17414,Not working!,negative
673,793,Great product!,positive
674,4420,Very satisfied.,positive
675,26619,Excellent service!,positive
676,38360,Please clarify.,neutral
677,7810,Terrible experience.,negative
678,18381,How do I return this?,neutral
679,39736,Disappointed.,negative
680,23541,Can someone assist?,neutral
681,22804,Disappointed.,negative
682,33148,Excellent service!,positive
683,46334,Disappointed.,negative
684,42333,Very satisfied.,positive
685,14596,Need help.,neutral
686,20511,Can someone assist?,neutral
687,41850,Disappointed.,negative
688,8319,Great product!,positive
689,45717,Never buying again.,negative
690,11926,Loved it!,positive
691,14691,Not working!,negative
692,2096,Need help.,neutral
693,45422,Very satisfied.,positive
694,37709,Disappointed.,negative
695,33826,Not working!,negative
696,26829,Great product!,positive
697,9952,Terrible experience.,negative
698,28592,Loved it!,positive
699,30419,Excellent service!,positive
700,2210,Loved it!,positive
701,37815,Very satisfied.,positive
702,43233,Excellent service!,positive
703,48073,Can someone assist?,neutral
704,2873,Never buying again.,negative
705,12356,Never buying again.,negative
706,39629,Disappointed.,negative
707,17662,How do I return this?,neutral
708,45705,Never buying again.,negative
709,9108,Very satisfied.,positive
710,17111,Very satisfied.,positive
711,10261,Can someone assist?,neutral
712,46656,Need help.,neutral
713,43485,Not working!,negative
714,39849,Loved it!,positive
715,6360,Disappointed.,negative
716,43691,Very satisfied.,positive
717,49301,Very satisfied.,positive
718,465,Very satisfied.,positive
719,41346,Terrible experience.,negative
720,32237,Please clarify.,neutral
721,33604,Terrible experience.,negative
722,3836,Never buying again.,negative
723,27965,Terrible experience.,negative
724,40684,Loved it!,positive
725,40974,Very satisfied.,positive
726,43920,Great product!,positive
727,13227,Great product!,positive
728,24768,Loved it!,positive
729,40649,Loved it!,positive
730,43742,Great product!,positive
731,38078,Great product!,positive
732,14711,How do I return this?,neutral
733,6711,Excellent service!,positive
734,11246,Very satisfied.,positive
735,33473,Terrible experience.,negative
736,47719,Loved it!,positive
737,21412,Great product!,positive
738,36645,How do I return this?,neutral
739,40544,Please clarify.,neutral
740,15407,Excellent service!,positive
741,39534,Loved it!,positive
742,27891,Can someone assist?,neutral
743,7752,Great product!,positive
744,29792,How do I return this?,neutral
745,31293,Very satisfied.,positive
746,46807,Loved it!,positive
747,24671,Disappointed.,negative
748,10146,Terrible experience.,negative
749,24143,Loved it!,positive
750,46328,Great product!,positive
751,27599,Terrible experience.,negative
752,47506,Excellent service!,positive
753,25580,Great product!,positive
754,37212,Very satisfied.,positive
755,4747,Great product!,positive
756,45617,Great product!,positive
757,10201,Terrible experience.,negative
758,31464,Excellent service!,positive
759,20787,Terrible experience.,negative
760,43645,Loved it!,positive
761,21831,Great product!,positive
762,24714,Excellent service!,positive
763,43857,Very satisfied.,positive
764,2621,How do I return this?,neutral
765,15176,Disappointed.,negative
766,20730,Very satisfied.,positive
767,15182,Great product!,positive
768,12415,Loved it!,positive
769,6609,Loved it!,positive
770,32277,Disappointed.,negative
771,47779,Great product!,positive
772,28310,Very satisfied.,positive
773,31736,How do I return this?,neutral
774,17376,Terrible experience.,negative
775,22158,Great product!,positive
776,18629,Great product!,positive
777,21063,Excellent service!,positive
778,38509,Great product!,positive
779,2791,Great product!,positive
780,35753,Terrible experience.,negative
781,20492,Loved it!,positive
782,48435,Loved it!,positive
783,19454,Excellent service!,positive
784,45349,Please clarify.,neutral
785,49304,Not working!,negative
786,726,Disappointed.,negative
787,21734,Very satisfied.,positive
788,20413,Very satisfied.,positive
789,36814,Loved it!,positive
790,10924,Loved it!,positive
791,11404,Need help.,neutral
792,11645,Not working!,negative
793,15737,How do I return this?,neutral
794,9498,Great product!,positive
795,11771,Great product!,positive
796,22407,Terrible experience.,negative
797,326,Disappointed.,negative
798,41460,Never buying again.,negative
799,46858,Terrible experience.,negative
800,3480,Loved it!,positive
801,6268,Need help.,neutral
802,17884,Very satisfied.,positive
803,20772,Loved it!,positive
804,32190,Please clarify.,neutral
805,46325,Great product!,positive
806,29776,Terrible experience.,negative
807,3324,How do I return this?,neutral
808,3626,Loved it!,positive
809,34470,Not working!,negative
810,13142,Very satisfied.,positive
811,22531,Disappointed.,negative
812,45236,How do I return this?,neutral
813,39126,Great product!,positive
814,23500,Loved it!,positive
815,13096,Excellent service!,positive
816,8872,Excellent service!,positive
817,960,Disappointed.,negative
818,33399,Very satisfied.,positive
819,4052,Not working!,negative
820,34078,Very satisfied.,positive
821,2285,Disappointed.,negative
822,29064,Disappointed.,negative
823,31337,Great product!,positive
824,7870,Loved it!,positive
825,44699,Very satisfied.,positive
826,38046,Very satisfied.,positive
827,37175,Great product!,positive
828,1433,Loved it!,positive
829,15753,Very satisfied.,positive
830,44971,Please clarify.,neutral
831,5177,Never buying again.,negative
832,45642,Very satisfied.,positive
833,28291,Disappointed.,negative
834,42418,Please clarify.,neutral
835,48558,Terrible experience.,negative
836,8820,Excellent service!,positive
837,39319,Excellent service!,positive
838,994,Never buying again.,negative
839,16624,Loved it!,positive
840,37704,Please clarify.,neutral
841,17498,Please clarify.,neutral
842,5119,Please clarify.,neutral
843,32671,Very satisfied.,positive
844,49151,Need help.,neutral
845,5813,Excellent service!,positive
846,26614,Terrible experience.,negative
847,10807,Very satisfied.,positive
848,13133,Very satisfied.,positive
849,22449,Never buying again.,negative
850,5787,Great product!,positive
851,34599,Loved it!,positive
852,48975,Excellent service!,positive
853,1501,Need help.,neutral
854,8548,Great product!,positive
855,38373,Excellent service!,positive
856,32808,Disappointed.,negative
857,19794,How do I return this?,neutral
858,17573,How do I return this?,neutral
859,9981,Not working!,negative
860,40100,Need help.,neutral
861,15170,Need help.,neutral
862,2065,Loved it!,positive
863,28046,Very satisfied.,positive
864,18202,Excellent service!,positive
865,25473,Terrible experience.,negative
866,30547,Excellent service!,positive
867,14745,Loved it!,positive
868,26416,Very satisfied.,positive
869,43383,Not working!,negative
870,38720,Terrible experience.,negative
871,43552,Never buying again.,negative
872,37219,Can someone assist?,neutral
873,1852,Loved it!,positive
874,43448,Not working!,negative
875,49350,Not working!,negative
876,192,Great product!,positive
877,39412,Please clarify.,neutral
878,49076,Please clarify.,neutral
879,30005,Need help.,neutral
880,15836,Great product!,positive
881,48491,Never buying again.,negative
882,7692,Excellent service!,positive
883,11424,Terrible experience.,negative
884,16561,Great product!,positive
885,38502,Terrible experience.,negative
886,3430,Great product!,positive
887,21977,Very satisfied.,positive
888,4441,Can someone assist?,neutral
889,39065,How do I return this?,neutral
890,27293,Very satisfied.,positive
891,28907,Excellent service!,positive
892,3227,Can someone assist?,neutral
893,27909,Can someone assist?,neutral
894,10839,Excellent service!,positive
895,47101,Never buying again.,negative
896,17199,Not working!,negative
897,15277,Great product!,positive
898,36026,Disappointed.,negative
899,25149,Very satisfied.,positive
900,24321,Can someone assist?,neutral
901,25607,Loved it!,positive
902,33214,Need help.,neutral
903,44704,Can someone assist?,neutral
904,44559,Can someone assist?,neutral
905,17823,Very satisfied.,positive
906,37904,Excellent service!,positive
907,26509,Loved it!,positive
908,13786,Need help.,neutral
909,22743,Not working!,negative
910,3844,Never buying again.,negative
911,20961,Excellent service!,positive
912,3849,Not working!,negative
913,10917,Loved it!,positive
914,25588,Terrible experience.,negative
915,22892,Disappointed.,negative
916,34328,Very satisfied.,positive
917,30186,Great product!,positive
918,39013,Need help.,neutral
919,12021,Great product!,positive
920,26724,Terrible experience.,negative
921,10940,Never buying again.,negative
922,1653,Very satisfied.,positive
923,20458,Excellent service!,positive
924,21046,Need help.,neutral
925,18941,Very satisfied.,positive
926,37505,How do I return this?,neutral
927,20899,Excellent service!,positive
928,27879,Not working!,negative
929,45336,Terrible experience.,negative
930,14296,How do I return this?,neutral
931,451,Never buying again.,negative
932,44928,Terrible experience.,negative
933,48629,Great product!,positive
934,36610,Very satisfied.,positive
935,49087,How do I return this?,neutral
936,28656,Not working!,negative
937,26684,Not working!,negative
938,8606,Loved it!,positive
939,39419,Disappointed.,negative
940,2376,Excellent service!,positive
941,12358,Need help.,neutral
942,41887,Not working!,negative
